doc_id,prompt,text_id,sentence_id,sentence,coding_id,notes,e/c,relabeling
text1,incident,text1_incident,1,Manipulative emotionally,MA01,,,
text1,perpetrator,text1_perpetrator,1,Smart controlling powerful,"PE16, CB01, PE16",,,
text1,relationship,text1_relationship,1,Hidden Volatile,"RE01, RE01",,,
text1,victim,text1_victim,1,People pleaser,VI05,,,
text1,victim,text1_victim,2,Vulnerable,VI01,,,
text10,incident,text10_incident,1,"Explosive and damaging to all involved , bring in others who are unrelated","AB05, RE01",,,
text10,perpetrator,text10_perpetrator,1,Larger Easily provoked,"PE11, PE02",,,
text10,relationship,text10_relationship,1,Common disagreements with rare violence .,"FR03, FR02.2",,,
text10,victim,text10_victim,1,Smaller Confrontational,"VI15, VI16",,,
text100,incident,text100_incident,1,not sure,,,,
text100,perpetrator,text100_perpetrator,1,not sure,,,,
text100,relationship,text100_relationship,1,not sure,,,,
text100,victim,text100_victim,1,not sure,,,,
text101,incident,text101_incident,1,Not as brutal as incidents involving a man Scratches and smaller incidents,"AB12, AB12",,,
text101,perpetrator,text101_perpetrator,1,Manly,GE08,,,
text101,perpetrator,text101_perpetrator,2,Controlling Jealous,"CB01, CB02",,,
text101,relationship,text101_relationship,1,Short relationship Jealous arguments Suspicions of cheating,"RE06, CB02, FR03, CB02",,,
text101,victim,text101_victim,1,Feminine,GE05,,,
text101,victim,text101_victim,2,Shy,VI05,,,
text102,incident,text102_incident,1,meaningless things for women,AB12,,,
text102,perpetrator,text102_perpetrator,1,gay things not knowing anything else she would deserve being beaten by a man,GE07.1,,,
text102,relationship,text102_relationship,1,idiotic unreal superficial,RE07,,,
text102,victim,text102_victim,1,stupidity for being in a gay relationship,BL03,,,
text103,incident,text103_incident,1,"Slapping , hair pulling , shouting verbal abuse .","AB01, AB13, AB02 AB02, ",,,
text103,incident,text103_incident,2,Financial controlling .,CB06,,,
text103,perpetrator,text103_perpetrator,1,"A larger , stronger female ( physically ) .",PE11,,,
text103,perpetrator,text103_perpetrator,2,Butch - short hair .,GE08,,,
text103,perpetrator,text103_perpetrator,4,"In a more typically ' male ' profession , eg .",GE08,,,
text103,perpetrator,text103_perpetrator,5,"a mechanic , Has multiple partners Bossy","PE17, PE04",,,
text103,relationship,text103_relationship,1,Lovers Possibly married .,RE04,,,
text103,relationship,text103_relationship,2,Not a monogamous relationship,RE07,,,
text103,victim,text103_victim,1,"The more timid , shy person in the relationship .","VI05, VI05",,,
text103,victim,text103_victim,2,More willing to please .,VI05,,,
text103,victim,text103_victim,3,"Physically weaker , shorter , smaller in stature .",VI15,,,
text103,victim,text103_victim,5,In a lesser paid job than her partner perpetrator .,PE10,,,
text103,victim,text103_victim,6,Is less of a victim compared to a victim of a male perpetrator as relationship was more ' equal ' .,"AB12, GE03",,,
text103,victim,text103_victim,7,' Asked for it ' Should have ' just walked away ' from the violence Meek and loyal,"BL01, BL01, VI05, VI28",,,
text104,incident,text104_incident,1,Control over friendships and social activities Aggressive behaviour Punching,"CB04, AB05, AB01",,,
text104,incident,text104_incident,2,Cutting,AB01,,,
text104,incident,text104_incident,3,Controlling physical choices such clothing and make up,CB01,,,
text104,incident,text104_incident,4,Restating Locking in home,"AB04, CB03",,,
text104,perpetrator,text104_perpetrator,1,Bullied in the past or a bully at school during their youth,"PE09, PE01",,,
text104,perpetrator,text104_perpetrator,2,Low self esteem Jealous Lack of friends Lack of control in life and relationships,"PE06, CB02, PE18, PE12",,,
text104,relationship,text104_relationship,1,Unbalanced Jealous Envious,"RE02, CB02, CB02",,,
