doc_id,prompt,text_id,sentence_id,sentence,coding_id,notes,e/c,relabeling
text1,incidents,text1_incidents,1,Hitting Manipualatinf coercing,"AB01, MA01, MA01",,,
text1,perpetrator,text1_perpetrator,1,Cunning smart mean,"PE01, PE16, PE01",,,
text1,relationship,text1_relationship,1,Forceful controlling untrusting,"AB02, CB01, RE01",,,
text1,victim,text1_victim,1,Vulnerable quiet susceptible,"VI01, VI08, MA03",,,
text10,incidents,text10_incidents,1,Verbal Explosive Agressive Built up over a long time,"AB02, RE01, AB02, RE01",,,
text10,perpetrator,text10_perpetrator,1,Manipulative Calculated,"MA02, PE01",,,
text10,perpetrator,text10_perpetrator,2,Overbearing,PE04,,,
text10,relationship,text10_relationship,1,Emotionally manipulative Toxic Intense,"MA01, RE01, RE01",,,
text10,victim,text10_victim,1,Powerless Embarrassed,"VI13, VI04",,,
text10,victim,text10_victim,2,Shameful,VI04,,,
text100,incidents,text100_incidents,1,not sure,,,,
text100,perpetrator,text100_perpetrator,1,Hot - headed,PE02,,,
text100,relationship,text100_relationship,1,co - habiting,RE09,,,
text100,victim,text100_victim,1,Calm levl - headed,VI09,,,
text101,incidents,text101_incidents,1,The violence would not be as brutal Smaller violent actions,"AB12, AB12",,,
text101,perpetrator,text101_perpetrator,1,Reserved,VI08,Confused? Coded as victim. ,c,v_recode
text101,perpetrator,text101_perpetrator,2,Not manly Soft,"GE05, VI01",Confused? Coded as victim. ,c,v_recode
text101,relationship,text101_relationship,1,People may view the relationship as normal and may miss warning signs,MA06,,,
text101,relationship,text101_relationship,2,Controlling and jealous arguments,"CB01, CB02",,,
text101,victim,text101_victim,1,Jealous,CB02,Confused? Coded as perpetrator. ,c,p_recode
text101,victim,text101_victim,2,Controlling Manly,"CB01, GE08",Confused? Coded as perpetrator. ,c,p_recode
text102,incidents,text102_incidents,1,laughable not serious,"AB12, AB12",,,
text102,perpetrator,text102_perpetrator,1,lucky not to find another man needed to be put at her place,,,,
text102,relationship,text102_relationship,1,laughable toxic to avoid,"GE06, RE01",,,
text102,victim,text102_victim,1,laughable learn to defend yourself,GE06,,,
text103,incidents,text103_incidents,1,Verbal abuse .,AB02,,,
text103,incidents,text103_incidents,2,' Putting him down in public ' .,AB02,,,
text103,incidents,text103_incidents,3,Verbal arguments at home or in public .,AB02,,,
text103,incidents,text103_incidents,4,Financial coersion / control .,CB06,,,
text103,incidents,text103_incidents,5,Slapping .,AB01,,,
text103,perpetrator,text103_perpetrator,1,"Strong , determined woman Physically strong , tall , well built .","PE16, PE11, PE11",,,
text103,perpetrator,text103_perpetrator,2,Earns her own money,PE16,,,
text103,relationship,text103_relationship,1,Married .,RE04,,,
text103,relationship,text103_relationship,2,Monogamous,RE04,,,
text103,victim,text103_victim,1,Weak male .,VI01,,,
text103,victim,text103_victim,2,Should have ' stood up for himself ' .,BL01,,,
text103,victim,text103_victim,4,Short in stature .,VI15,,,
text103,victim,text103_victim,5,Geeky .,VI08,,,
text103,victim,text103_victim,6,Not masculine .,GE05,,,
text103,victim,text103_victim,8,Under 40,,,,
text104,incidents,text104_incidents,1,Aggression Arguments escalate Punch,"AB05, AB02, AB01",,,
text104,incidents,text104_incidents,2,Kick,AB01,,,
text104,incidents,text104_incidents,3,Biting Using children and access as control,"AB01, CB01",,,
text104,incidents,text104_incidents,4,Threatening behaviour,AB02,,,
text104,perpetrator,text104_perpetrator,1,Low self esteem Jealous,"PE06, CB02",,,
text104,perpetrator,text104_perpetrator,2,Possessive Angry,"CB02, PE02",,,
text104,perpetrator,text104_perpetrator,3,Previous relationship poor Controlling,"PE09, CB01",,,
text104,relationship,text104_relationship,1,Possessive Lack of trust Lack of confidence,"CB02, RE01, RE01",,,
text104,victim,text104_victim,1,Confused Anxious Low self esteem,"VI17, VI13, VI03",,,
text104,victim,text104_victim,2,Worried Lacks confidence Fearful of being judged,"VI13, VI03, VI04",,,
text105,incidents,text105_incidents,1,"assault , eg hitting , throwing hot fat at him , bruising , threatening","AB01, AB06, AB02",,,
text105,perpetrator,text105_perpetrator,1,"wife , girlfriend",,Exclusion. Relationship already established in rel response. ,e,
text105,relationship,text105_relationship,1,"married , or co - habiting","RE04, RE09",,,
text105,victim,text105_victim,1,"husband , boyfriend",,Exclusion. Relationship already established in rel response. ,e,
text106,incidents,text106_incidents,1,"Hitting , name calling , being told your worthless","AB01, AB02, AB02",,,
text106,perpetrator,text106_perpetrator,1,"Manipulation , blackmail , hitting","MA02, MA02, AB01",,,
text106,relationship,text106_relationship,1,"Togetherness , happiness",RE12,,,
text106,victim,text106_victim,1,"Weak , easily manipulated , scared , too trusting","VI01, MA03, VI13, VI09",,,
text107,incidents,text107_incidents,1,Throwing things Mental torture Manipulation,"AB05, AB02, MA01",,,
text107,perpetrator,text107_perpetrator,1,Does n't care about anything,PE05,,,
text107,perpetrator,text107_perpetrator,2,Uses partner to get frustration out Does n't value what has,"PE07, PE01",,,
text107,relationship,text107_relationship,1,Live together Toxic,"RE09, RE01",,,
text107,relationship,text107_relationship,2,On and off,RE01,,,
text107,victim,text107_victim,1,Insecure,VI03,,,
text107,victim,text107_victim,2,Low self belief Believes they can change the other Does n't see her own worth Scared of change,"VI03, VI25, VI03, VI13",,,
text108,incidents,text108_incidents,1,Hitting Verbal abuse Use of weapons Name calling,"AB01, AB02, AB01, AB02",,,
text108,incidents,text108_incidents,2,Shaming,AB02,,,
text108,perpetrator,text108_perpetrator,1,Domineering,PE04,,,
text108,perpetrator,text108_perpetrator,2,Two faced Unpredictable Fearmonger,"MA02, PE02, PE01",,,
text108,relationship,text108_relationship,1,Married Partners Parent and child,"RE04, RE10",,,
text108,victim,text108_victim,1,Embarrassed Shameful,"VI04, VI04",,,
text108,victim,text108_victim,2,Trapped Scared,"VI13, VI13",,,
text109,incidents,text109_incidents,1,"lots of arguments and violence , where they both get arrested .","FR03, FR01, BL04",,,
text109,incidents,text109_incidents,2,they get back together frequently .,RE01,,,
text109,incidents,text109_incidents,3,one person sometimes gets hurt which requires medical attention,AB06,,,
text109,perpetrator,text109_perpetrator,1,"confident , outspoken , not afraid to voice their opinion .","PE20, PE08, PE08",,,
text109,perpetrator,text109_perpetrator,2,likes to work out .,PE11,,,
text109,perpetrator,text109_perpetrator,3,sees women as the weaker sex,GE01,,,
text109,relationship,text109_relationship,1,changeable .,,,,
text109,relationship,text109_relationship,2,lots of arguments and violence involving the police .,"FR03, FR01",,,
text109,relationship,text109_relationship,3,they break up and get back together often,RE01,,,
text109,victim,text109_victim,1,"quiet , softly spoken , normal ,","VI08, VI05, ",,,
text11,incidents,text11_incidents,1,female frustrated at male flare ups over money relationship not healthy,"RE01, CB06, RE01",,,
text11,perpetrator,text11_perpetrator,1,busy female hectic life regrets life choices,"PE12, PE12, PE12",,,
text11,relationship,text11_relationship,1,female regretting getting with partner,RE01,,,
text11,victim,text11_victim,1,"soft man , quiet subordinate unemployed","VI05, VI08, VI05, CI02",,,
text110,incidents,text110_incidents,1,Physical Psychological,"AB01, AB02",,,
text110,perpetrator,text110_perpetrator,1,Controlling Jealous Tendency to violence,"CB01, CB02, PE07",,,
text110,relationship,text110_relationship,1,"Female dominated , male controlled Outbursts of female violence knowing make too emabarrased to do anything about it","RE02, CB01, AB01, VI04",,,
text110,relationship,text110_relationship,2,No one would believe hime,GE06,,,
text110,victim,text110_victim,1,Meek Controlled Wants to keep the peace Ashamed of who his abuser is,"VI05, CB01, VI09, VI04",,,
text111,incidents,text111_incidents,1,Always behind closed doors Bruises always well hidden,"MA06, MA06",,,
text111,perpetrator,text111_perpetrator,1,Manipulative,MA02,,,
text111,perpetrator,text111_perpetrator,2,Good,MA06,,,
text111,perpetrator,text111_perpetrator,3,at hiding what is really going on,,,,
text111,relationship,text111_relationship,1,Manipulative controlling,"MA01, CB01",,,
text111,victim,text111_victim,1,Embarrassed,VI04,,,
text112,incidents,text112_incidents,1,More mental than physical,AB02,,,
text112,perpetrator,text112_perpetrator,1,Mean Strong,"PE01, PE16",,,
text112,relationship,text112_relationship,1,Poor quality Imbalanced One - sided,"RE01, RE02, RE02",,,
text112,victim,text112_victim,1,weak less important,"VI01, RE02",,,
text113,incidents,text113_incidents,1,"punching , pinching anything to humiliate","AB01, AB01, AB02",,,
text113,perpetrator,text113_perpetrator,1,career woman childless in control of money drug user,"PE10, CI04, CB06, CI01",,,
text113,relationship,text113_relationship,1,married probably,RE04,,,
text113,victim,text113_victim,1,working but in an everyday job soft spoken,"PE10, VI09",,,
text114,incidents,text114_incidents,1,"She stabs , slaps and kicks him .","AB10, AB01, AB01",,,
text114,incidents,text114_incidents,2,She feigns that he is abusing her .,BL02,,,
text114,perpetrator,text114_perpetrator,1,Vindictive and selfish woman .,"PE01, PE05",,,
text114,perpetrator,text114_perpetrator,2,Domineering woman .,PE04,,,
text114,relationship,text114_relationship,1,She take advantage of him financially and probably cheats on him .,"CB06, PE17",,,
text114,relationship,text114_relationship,2,He is submissive .,VI05,,,
text114,victim,text114_victim,1,Weak male and beta male .,"VI01, GE05",,,
text115,incidents,text115_incidents,1,Male looks / talks to another female may cause violence Male getting into a new hobby potentially making the woman feel left out Anger from outside sources could be taken out on him .,"CB02, CB02, AB05",,,
text115,perpetrator,text115_perpetrator,1,Jealous Angry Anger management issues,"CB02, PE02, PE02",,,
text115,perpetrator,text115_perpetrator,2,Controlling Lack of self confidence,"CB01, PE06",,,
text115,relationship,text115_relationship,1,Woman may seem to be the dominant one Woman may be overly affectionate to male Woman has the final say on things,"PE04, MA04, RE02",,,
text115,victim,text115_victim,1,Sensitive Quiet and withdrawn Lack of self confidence,"VI01, VI08, VI03",,,
text115,victim,text115_victim,2,Not very social,VI08,,,
text116,incidents,text116_incidents,1,Psychological/ mental - may be occasional violence from perpetrator that victim feels he can not defend ( due to gender roles ),"AB02, AB01, FR02.2, VI26",,,
text116,perpetrator,text116_perpetrator,1,Personality sways from extremes,PE02,,,
text116,perpetrator,text116_perpetrator,2,"Extreme lack of identity , acts as a vacuum for aggression Lazy","PE06, PE02, PE05",,,
text116,relationship,text116_relationship,1,"Traditional , male trying everything to make wife happy Perpetrator-","GE01, RE02, PE05",,,
text116,relationship,text116_relationship,2,"never happy , wants everything",,,,
text116,victim,text116_victim,1,"Happy , outgoing Wants to please Kind , compassionate , apologetic","VI09, VI19, VI05, VI09, VI09, VI05",,,
text117,incidents,text117_incidents,1,Hurtful Start from an argument Escalatative Confrontational,"AB02, AB11, AB11, RE01",,,
text117,perpetrator,text117_perpetrator,1,Dangerous Demonic Violent Manipulative,"PE07, PE01, PE07, MA02",,,
text117,relationship,text117_relationship,1,Turbulent Unsettled,"RE01, RE01",,,
text117,relationship,text117_relationship,2,Untrusting,RE01,,,
text117,victim,text117_victim,1,Weak Not a real man Does n't wear the trousers Unable to stand on his own two feet,"VI01, GE05, VI05, VI13",,,
text117,victim,text117_victim,2,Shame / ashamed,VI04,,,
text118,incidents,text118_incidents,1,"Slaps , punches , stabbing , scalding , throwing things at him threatening him","AB01, AB01, AB10, AB02, AB01, AB02",,,
text118,perpetrator,text118_perpetrator,1,Controller Paranoid Possessive,"CB01, CB10, CB02",,,
text118,relationship,text118_relationship,1,Heterosexual couple,,,,
text118,victim,text118_victim,1,Tries to please her Tries to make himself smaller Afraid of her afraid to tell anyone Thinks he will not be believed if he tells police or mates or family,"VI05, VI05, VI13, VI04, VI26",,,
text119,incidents,text119_incidents,1,"pushing , hitting , verbal abuse","AB01, AB01, AB02",,,
text119,perpetrator,text119_perpetrator,1,"Bully , horrible , nasty","PE01, PE01, PE01",,,
text119,relationship,text119_relationship,1,Dominated by female,RE02,,,
text119,victim,text119_victim,1,"Weak , someone to be laughed at , henpecked ,","VI01, BL01, VI05",,,
text12,incidents,text12_incidents,1,violent abuse verbal / emotional / psychological abuse,"AB01, AB02, ",,,
text12,perpetrator,text12_perpetrator,1,"a strong woman "" she wears the pants in the relationship "" abusive","PE04, AB05",,,
text12,relationship,text12_relationship,1,""" organised "" violent abuse gets dismissed due to gender",GE06,,,
text12,victim,text12_victim,1,"weak "" not a man "" some people say shit like "" wow what a lucky guy "" unfairly dismissed","VI01, GE05, GE06, AB12, ",,,
text120,incidents,text120_incidents,1,Physical harm hitting throwing things,"AB06, AB01, AB05",,,
text120,perpetrator,text120_perpetrator,1,Wants to be in control,PE04,,,
text120,perpetrator,text120_perpetrator,2,Jealous Bully,"CB02, PE01",,,
text120,perpetrator,text120_perpetrator,3,Unstable Unkind,"PE09, PE01",,,
text120,relationship,text120_relationship,1,Victim believes it will get better and is their fault Reoccurs after promising it wo nâ€™t happen again,"BL04, MA05",,,
text120,victim,text120_victim,1,Kind Genuine Lost,"VI09, VI09, VI17",,,
text120,victim,text120_victim,2,Embarrassed,VI04,,,
text121,incidents,text121_incidents,1,hitting/ physical abuse emotional abuse verbal abuse,"AB01, AB02, AB02",,,
text121,perpetrator,text121_perpetrator,1,domineering aggressive bitchy / butch catty argumentative harpy,"PE04, PE03, PE01, GE08, PE01, PE01, PE01",,,
text121,relationship,text121_relationship,1,controlling argumentative unhappy aggressive financial control,"CB01, RE01, RE01, AB05, CB06",,,
text121,victim,text121_victim,1,weak low educated controlled submissive,"VI01, CI02, CB01, VI05",,,
text122,incidents,text122_incidents,1,punching slapping throwing objects,"AB01, AB01, AB05",,,
text122,perpetrator,text122_perpetrator,1,woman assertive bossy,"PE04, PE04",,,
text122,relationship,text122_relationship,1,one sided,RE02,,,
text122,victim,text122_victim,1,man trusting outwardly confident,"VI09, VI20",,,
text123,incidents,text123_incidents,1,"Physical violence , e.g. hitting and shoving .",AB01,,,
text123,incidents,text123_incidents,2,"Threat of violence , or blackmail ( ' do this","AB02, MA01, BL04",,,
