Finished,gender,age,ethnicity,ethnicity_6_TEXT,sexual_orientation
TRUE,Female,27,White,,Heterosexual or Straight
TRUE,Male,27,White,,Gay or Lesbian
TRUE,Female,29,White,,Heterosexual or Straight
TRUE,Female,33,White,,Heterosexual or Straight
TRUE,Male,35,White,,Heterosexual or Straight
TRUE,Female,32,Asian,,Gay or Lesbian
TRUE,Male,55,Black or African American,,Heterosexual or Straight
TRUE,Female,37,White,,Heterosexual or Straight
TRUE,Female,29,Other,Mixed race unknown,Heterosexual or Straight
TRUE,Male,25,White,,Gay or Lesbian
TRUE,Male,48,White,,Heterosexual or Straight
TRUE,Female,33,White,,Bisexual
TRUE,Female,42,White,,Heterosexual or Straight
TRUE,Female,21,White,,Heterosexual or Straight
TRUE,Female,44,Other,black british,Heterosexual or Straight
TRUE,Female,42,White,,Heterosexual or Straight
TRUE,Female,25,White,,Heterosexual or Straight
TRUE,Female,27,Other,Mixed ,Heterosexual or Straight
TRUE,Male,31,White,,Gay or Lesbian
TRUE,Female,22,White,,Heterosexual or Straight
TRUE,Female,40,White,,Heterosexual or Straight
TRUE,Female,31,White,,Heterosexual or Straight
TRUE,Female,36,White,,Heterosexual or Straight
TRUE,Female,42,White,,Heterosexual or Straight
TRUE,Female,49,White,,Heterosexual or Straight
TRUE,Female,44,White,,Heterosexual or Straight
TRUE,Female,41,White,,Heterosexual or Straight
TRUE,Male,19,White,,Gay or Lesbian
TRUE,Female,56,White,,Heterosexual or Straight
TRUE,Female,45,White,,Heterosexual or Straight
TRUE,Male,49,White,,Heterosexual or Straight
TRUE,Male,43,White,,Heterosexual or Straight
TRUE,Female,61,White,,Heterosexual or Straight
TRUE,Female,48,White,,Heterosexual or Straight
TRUE,Female,22,White,,Heterosexual or Straight
TRUE,Male,34,White,,Heterosexual or Straight
TRUE,Female,55,White,,Heterosexual or Straight
TRUE,Male,36,White,,Heterosexual or Straight
TRUE,Female,36,White,,Heterosexual or Straight
TRUE,Female,55,White,,Heterosexual or Straight
TRUE,Female,38,White,,Heterosexual or Straight
TRUE,Female,40,White,,Heterosexual or Straight
TRUE,Female,47,White,,Heterosexual or Straight
TRUE,Female,27,White,,Heterosexual or Straight
TRUE,Female,51,White,,Heterosexual or Straight
TRUE,Male,35,White,,Heterosexual or Straight
TRUE,Female,29,White,,Heterosexual or Straight
TRUE,Female,33,White,,Heterosexual or Straight
TRUE,Female,21,White,,Heterosexual or Straight
TRUE,Female,43,White,,Bisexual
TRUE,Non-binary / Other,39,White,,Bisexual
