StartDate,EndDate,Progress,Duration (in seconds),Finished,RecordedDate,UserLanguage,consent,mf_victim,mf_perpetrator,mf_relationship,mf_incident,mf_meta,fm_victim,fm_perpetrator,fm_relationship,fm_incident,fm_meta,mm_victim,mm_perpetrator,mm_relationship,mm_incident,mm_meta,ff_victim,ff_perpetrator,ff_relationship,ff_incident,ff_meta,gender,age,ethnicity,ethnicity_6_TEXT,sexual_orientation
Start Date,End Date,Progress,Duration (in seconds),Finished,Recorded Date,User Language,"Purpose

This study aims to investigate perceptions of intimate partner violence. If you volunteer to participate in this research study, we will ask you to fill out questions regarding stereotypes of intimate partner violence. You will not be presented with disturbing material or information. 



Time Commitment

Your participation is expected to take about 15 minutes. 



Potential Benefits

You will not directly benefit from your participation in this study. However, this study may provide valuable information about how people perceive certain scenarios of intimate partner violence. 



Confidentiality

We will make our best efforts to maintain confidentiality of any information that is collected during this study. We will protect your confidentiality by ensuring that your name and other identifiable information are not present in the data for this study. All data will be stored on a password-protected hard drive. The research team and authorized university staff may have access to the research data. Research records provided to authorized, non-university individuals will not contain identifiable information about you. Any publications and/or presentations that result from this study will not contain any identifiable information.



Participant’s rights

Your participation in this study is voluntary and you have the right to withdraw your consent and stop your participation at any time, without any penalty. Your participation is anonymous, and your answers cannot be traced back to you.

 

Contact

Hanna Feige

Graduate Student

gusfeigha@student.gu.se",Victim:,Perpetrator:,Relationship:,Violent incidents:,"When answering the questions about stereotypes of intimate partner violence involving a male perpetrator and a female victim, how difficult was it to come up with your responses?",Victim:,Perpetrator:,Relationship:,Violent incidents:,"When answering the questions about stereotypes of intimate partner violence involving a female perpetrator and a male victim, how difficult was it to come up with your responses?",Victim:,Perpetrator:,Relationship:,Violent incidents:,"When answering the questions about stereotypes of intimate partner violence involving a male perpetrator and a male victim, how difficult was it to come up with your responses?",Victim:,Perpetrator:,Relationship:,Violent incidents:,"When answering the questions about stereotypes of intimate partner violence involving a female perpetrator and a female victim, how difficult was it to come up with your responses?",What is your gender?,How old are you?,Which ethnicity do you consider yourself to be? - Selected Choice,Which ethnicity do you consider yourself to be? - Other - Text,Which of the following best describes your sexual orientation?
"{""ImportId"":""startDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""endDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID70""}","{""ImportId"":""QID119_TEXT""}","{""ImportId"":""QID120_TEXT""}","{""ImportId"":""QID95_TEXT""}","{""ImportId"":""QID80_TEXT""}","{""ImportId"":""QID75""}","{""ImportId"":""QID1214104138_TEXT""}","{""ImportId"":""QID1214104139_TEXT""}","{""ImportId"":""QID1214104140_TEXT""}","{""ImportId"":""QID1214104141_TEXT""}","{""ImportId"":""QID1214104142""}","{""ImportId"":""QID1214104126_TEXT""}","{""ImportId"":""QID1214104127_TEXT""}","{""ImportId"":""QID1214104128_TEXT""}","{""ImportId"":""QID1214104129_TEXT""}","{""ImportId"":""QID1214104130""}","{""ImportId"":""QID1214104132_TEXT""}","{""ImportId"":""QID1214104133_TEXT""}","{""ImportId"":""QID1214104134_TEXT""}","{""ImportId"":""QID1214104135_TEXT""}","{""ImportId"":""QID1214104136""}","{""ImportId"":""QID18""}","{""ImportId"":""QID16_TEXT""}","{""ImportId"":""QID17""}","{""ImportId"":""QID17_6_TEXT""}","{""ImportId"":""QID19""}"
07.02.2024 15:14,07.02.2024 15:20,100,347,TRUE,07.02.2024 15:20,EN,I have read and understood the above statement. I choose to participate voluntarily.,"Vulnerable 
Uncertain ","Smart
Coercive powerful ",Power and weak ,"Physical 
Money emotional ",Slightly difficult,Vulnerable quiet susceptible ,Cunning smart mean,Forceful controlling untrusting ,"Hitting
Manipualatinf coercing ",Slightly difficult,Vulnerable weak ,Smart cunning ,"Controlled, more unusual?",Physical ,Moderately difficult,"People pleaser 
Vulnerable ",Smart controlling powerful ,"Hidden
Volatile ",Manipulative emotionally ,Moderately difficult,Female,27,White,,Heterosexual or Straight
07.02.2024 15:20,07.02.2024 15:24,100,234,TRUE,07.02.2024 15:24,EN,I have read and understood the above statement. I choose to participate voluntarily.,"Weak
Small
Molester","Gangster
Strong
Bully
Rapist
",Cell mates,"Rape
Punch
Kick",Difficult,"Weak
Small
Feeble
","Strong
Big
Fat",Cell mates,"Rape
Emotional blackmail
Manipulation",Very difficult,"Weak
Defenceless
Peadophile
Rapist

","Gangster
Bully
Strong
Intimidating
",Cell mate,"Rape
Punch
Kick",Moderately difficult,"Small
Weak
","Strong
Big 
Fat
Muscly",Cell mates,"Rape
Punch
Kick",Difficult,Male,27,White,,Gay or Lesbian
07.02.2024 15:17,07.02.2024 15:24,100,432,TRUE,07.02.2024 15:24,EN,I have read and understood the above statement. I choose to participate voluntarily.,Young woman,Slightly older man,Partners,Taken place in the home ,Slightly difficult,Young boy,Person of authority ,Teacher student,Happened in school ,Moderately difficult,"Younger male 
More feminine ","Bigger
Angry looking","A dynamic where the perpetrator has more control. E.g. teacher and student, boss and employee ","Secluded
Secret",Slightly difficult,Under the influence of alcohol or drugs,Bigger girl,Met at a club / bar,Club toilets,Moderately difficult,Female,29,White,,Heterosexual or Straight
07.02.2024 15:17,07.02.2024 15:25,100,461,TRUE,07.02.2024 15:25,EN,I have read and understood the above statement. I choose to participate voluntarily.,"Alone
Naive ","Egoistic
Self confidence ",Selfish ,Abuse,Slightly difficult,Lost,"Selfish
Narcissistic ",War,Emotional breakdown ,Slightly difficult,"Shy
Uncomfortable
Scared
Emotional ","Brave
Self confidence
Egoistic
Open","Difficult
",Lack of trust ,Moderately difficult,"Silent
Scared ","Open
Loud
Cheeky ",Rollercoaster ,Misunderstood ,Slightly difficult,Female,33,White,,Heterosexual or Straight
07.02.2024 15:16,07.02.2024 15:32,100,970,TRUE,07.02.2024 15:32,EN,I have read and understood the above statement. I choose to participate voluntarily.,Quiet male who feels emasculated by his partner,"Loud, confident female who preys on her quiet partner. ",Outwardly everything seems fine but there is a cycle of emotional and verbal abuse leading to physical abuse ,"Not necessarily often, but very severe when they happen ",Not at all difficult,"Common stereotypes are that the victim is usually female, short in height, timid by nature, and often doesn’t do anything wrong to make the aggressor abuse them. ","The common stereotype is that they would be male, strong, possibly hate an alcohol problem.",Common stereotype is that it is a quiet marriage with limited social interaction with other couples. ,"Stereotypically these would occur occasionally, and would happen on a weekend after the male is under the influence of alcohol. ",Not at all difficult,Very quiet and perhaps socially awkward male ,Lots of nasty comments to the partner followed by bullying and violence ,Outwardly positive relationship but very different one behind closed doors,Happen often ,Moderately difficult,Shy and quiet female who goes along with what her partner says on most occasions. ,"A strong, stocky female that preys on her vulnerable partner ",Traditional butch female and more lady-looking female victim,Relatively often with lots of verbal abuse from the perpetrator preceding this ,Slightly difficult,Male,35,White,,Heterosexual or Straight
07.02.2024 15:20,07.02.2024 15:33,100,794,TRUE,07.02.2024 15:33,EN,I have read and understood the above statement. I choose to participate voluntarily.,"Quiet
Small
Nervous
Frightened
Broken down","Angry
Masculine
Threatening and intimidating behaviours 
Manipulative ","Isolated
Seems normal from outside 
Controlled","Rape
Sexual assault
Physical assault
Verbal assault ",Not at all difficult,"Has been broken down
Quiet
Emasculated ","Manipulative
Angry
Controlling
Gaslighter","Isolated
Controlled
Women isolates man","Sexual assault
Scratching
Biting 
Screaming",Slightly difficult,"Quiet
Easily led
Been broken down
","Controlling
Threatening
Will use force
","Seems fine on the outside
Isolated
Controlled","Sexual assault
Punching
Manipulation",Slightly difficult,"Meek
Eager to please
Quiet
Has been broken down over time","Manipulative 
Controlling
Threatening
Gaslighter ","Isolated
Seems fine from the outside 
Controlled","Sexual assault 
Hitting/slapping",Slightly difficult,Female,32,Asian,,Gay or Lesbian
07.02.2024 15:20,07.02.2024 15:39,100,1173,TRUE,07.02.2024 15:39,EN,I have read and understood the above statement. I choose to participate voluntarily.,a little girl,a middle aged man,an uncle or close relative,sexual harassment and abuse,Slightly difficult,a young male undergraduate,a young female undergraduate,"classmate 
friends",false sexual allegation ,Moderately difficult,student,student classmate,class mate (a bully too),beating him up after school,Moderately difficult,the girlfriend,the boyfriend,informal relationship ,cheated on her with her bestfriend,Moderately difficult,Male,55,Black or African American,,Heterosexual or Straight
07.02.2024 15:19,07.02.2024 15:40,100,1238,TRUE,07.02.2024 15:40,EN,I have read and understood the above statement. I choose to participate voluntarily.,"Scared.
Weak.
Goes along with whatever the male says.
Submissive.
Crying.
Mentally unstable.","Loud.
Shouting.
Strong.
Mentally unstable.
Aggressive.
Dominant.
Vindictive.
Manipulative.","Live a secret life behind closed doors.
Male makes most or almost all of the decisions.
Woman does whatever the man asks.","Punching and kicking by male.
Throwing objects and smashing things by male.
Maybe sexual violence, such as sexual assault and rape.
Mind games.
Gaslighting.",Slightly difficult,"Scared.
Feels weak.
Feels like a failure.
Mentally unstable.
Submissive.
","Dominant.
Aggressive.
Confident and/or arrogant.
Serious.
Strong.
Mentally unstable.","Live together.
Perpetrator makes decisions and victim forced to go along with them.
Hide what is happening behind closed door well.
Possibly married relationship between victim and perpetrator, or maybe mother and son.
","Kicking and punching.
Pushing and shoving.
Throwing things to cause damage and upset.
Screaming and shouting.
Verbal abuse.
Gaslighting.
Spitting.
Hair pulling.
Scratching.",Moderately difficult,"Submissive.
Manipulated.
Sad or depressed.
Goes along with whatever the perpetrator asks.
Mentally unstable.","Aggressive.
Strong.
Manipulative.
Vindictive. 
Loud and dominant.
","Live together.
Relationship behind closed doors is different to what others see.
Perpetrator has traditional male role of either partner or father.
","Kicking and punching.
Screaming and shouting.
Possible sexual violence.
Verbal abuse.
Gaslighting.",Moderately difficult,"Submissive.
Feels weak.
Quiet.
Naive.
Unable to defend herself.
Mentally unstable.","Strong.
Dominant.
Confident and/or arrogant.
Mentally unstable.
","Possible friendship or sexual relationship.
Could be a mother- daughter or sister-sister relationship.
Perpetrator bullies the victim.
Perpetrator makes all of the decisions and victim goes along with them.","Pushing and shoving.
Kicking and punching.
Screaming and shouting.
Hair pulling and scratching.
Spitting.
Verbal abuse.
Gaslighting.
Throwing things to cause upset and hurt.",Moderately difficult,Female,37,White,,Heterosexual or Straight
