doc_id,prompt,text_id,sentence_id,sentence,coding_id,notes,e/c,relabeling
text1,incident,text1_incident,1,Physical Money emotional,"AB01, CB06, AB02",,,
text1,perpetrator,text1_perpetrator,1,Smart Coercive powerful,"PE16, MA02, PE16",,,
text1,relationship,text1_relationship,1,Power and weak,RE02,,,
text1,victim,text1_victim,1,Vulnerable Uncertain,"VI01, VI05",,,
text10,incident,text10_incident,1,Alcohol involved Masculinity threatened Great damage done,"CI01, GE01, AB05",,,
text10,perpetrator,text10_perpetrator,1,Dominant Aggressive Confrontational Fragile Masculinity,"PE04, PE03, PE03, GE01",,,
text10,relationship,text10_relationship,1,Failing Captive Inescapable,"RE01, RE01, RE01",,,
text10,victim,text10_victim,1,Helpless Scared to speak up Anxious,"VI13, VI13, VI13",,,
text100,incident,text100_incident,1,physical and sexual assualts at home,"AB01, AB03",,,
text100,perpetrator,text100_perpetrator,1,confident loud,"PE20, PE08",,,
text100,relationship,text100_relationship,1,married / long term relationship co - habitting,"RE04, RE09",,,
text100,victim,text100_victim,1,quiet uncertain,"VI08, VI05",,,
text101,incident,text101_incident,1,Mainly happens after drinking,CI01,,,
text101,perpetrator,text101_perpetrator,1,Bully Controlling,"PE01, CB01",,,
text101,perpetrator,text101_perpetrator,2,Abusive,AB05,,,
text101,perpetrator,text101_perpetrator,3,Charming towards to other people,MA06,,,
text101,relationship,text101_relationship,1,Looks fine on the outside,MA06,,,
text101,relationship,text101_relationship,2,Controlling on the inside,CB01,,,
text101,relationship,text101_relationship,3,Up and down with problems only close people know about,RE01,,,
text101,victim,text101_victim,1,Weak Had chances to leave in the past Emotionally attached to relationship Reluctant to leave,"VI01, BL01, VI28, VI28",,,
text102,incident,text102_incident,1,criminal jail,,,,
text102,perpetrator,text102_perpetrator,1,coward psycho mentally ill,"PE06, PE02, PE09",,,
text102,relationship,text102_relationship,1,unwanted forced violent,"RE02, RE01, AB01",,,
text102,victim,text102_victim,1,not keen to avoid risks not too smart in going around alone unlucky,"BL01, BL01, BL01",,,
text103,incident,text103_incident,1,"Violent incidents in the home involving slapping , hitting , punching Verbal abuse in the home .","AB01, AB02",,,
text103,incident,text103_incident,3,Sexual coersion Rape Financially controlling behaviour .,"AB03, AB03, CB06",,,
text103,incident,text103_incident,4,Arguments outside the home .,AB08,,,
text103,incident,text103_incident,5,Not allowing her to wear what she wants - instructing her to wear certain items .,CB01,,,
