doc_id,prompt,text_id,sentence_id,sentence,coding_id,notes,e/c,relabeling
text1,incident,text1_incident,1,Physical,AB01,,,
text1,perpetrator,text1_perpetrator,1,Smart cunning,"PE16, PE01 ",,,
text1,relationship,text1_relationship,1,"Controlled , more unusual ?","CB01, GE06",,,
text1,victim,text1_victim,1,Vulnerable weak,"VI01, VI01, ",,,
text10,incident,text10_incident,1,Explosive Spectacle,AB05,,,
text10,perpetrator,text10_perpetrator,1,Threatened Confrontational,"BL02, PE03",,,
text10,relationship,text10_relationship,1,Vanity Forced Toxic,"RE07, RE01, RE01",,,
text10,victim,text10_victim,1,Confrontational Helpless,"VI16, VI13",,,
text100,incident,text100_incident,1,not sure,,,,
text100,perpetrator,text100_perpetrator,1,argumentative showoff,"PE20, PE20",,,
text100,relationship,text100_relationship,1,not sure,,,,
text100,victim,text100_victim,1,quiet shy introverted,"VI08, VI05, VI08",,,
text101,incident,text101_incident,1,People wo nâ€™t take this as seriously knowing it â€™s two men which is unfair .,GE06,,,
text101,perpetrator,text101_perpetrator,1,Wants to feel in control,PE04,,,
text101,perpetrator,text101_perpetrator,2,Emotionally detached,PE01,,,
text101,perpetrator,text101_perpetrator,3,No empathy,PE01,,,
text101,relationship,text101_relationship,1,How long were they in a relationship for What happened / what led to the incident,,,,
text101,relationship,text101_relationship,2,Cheating,RE11,,,
text101,victim,text101_victim,1,What did they do,BL01,,,
text101,victim,text101_victim,2,How long did they know the perpetrator Nervous to speak up,"BL01, VI13",,,
text102,incident,text102_incident,1,deserved next time behave next time learn,BL01,,,
text102,perpetrator,text102_perpetrator,1,gay idiot shame on him,,Opinion not stereotype. ,e,
text102,relationship,text102_relationship,1,laughable superficial,RE07,,,
text102,victim,text102_victim,1,laughable better go with women next time learn something from this,BL03,,,
text103,incident,text103_incident,1,Verbal arguments inside and outside the home .,"AB02, AB08",,,
text103,incident,text103_incident,2,Financial control .,CB06,,,
text103,incident,text103_incident,4,Coersive control - sexual and otherwise,"CB01, AB03",,,
text103,incident,text103_incident,5,"Physical abuse - fights - punching , slapping , etc .",AB01,,,
