"","Measure","Value"
"logl","logl",-9969.84381388042
"unrestricted.logl","unrestricted.logl",28031.1440278563
"baseline.logl","baseline.logl",-12018.4093762436
"nvar","nvar",55
"nobs","nobs",1485
"npar","npar",651
"df","df",834
"objective","objective",28.3952524368422
"chisq","chisq",76001.9756834735
"pvalue","pvalue",0
"baseline.chisq","baseline.chisq",80099.1068081998
"baseline.df","baseline.df",1485
"baseline.pvalue","baseline.pvalue",0
"nfi","nfi",0.0511507716875924
"pnfi","pnfi",0.0287271000588903
"tli","tli",-0.702522159126035
"nnfi","nnfi",-0.702522159126035
"rfi","rfi",-0.689497726671373
"ifi","ifi",0.0516889623909832
"rni","rni",0.0438360399251761
"cfi","cfi",0.0438360399251762
"rmsea","rmsea",0.765020444707585
"rmsea.ci.lower","rmsea.ci.lower",0.760423079406491
"rmsea.ci.upper","rmsea.ci.upper",0.769627866719537
"rmsea.pvalue","rmsea.pvalue",0
"aic.ll","aic.ll",21241.6876277608
"aic.ll2","aic.ll2",19537.0611217368
"aic.x","aic.x",74333.9756834735
"aic.x2","aic.x2",77303.9756834735
"bic","bic",23218.7437719321
"bic2","bic2",21158.2308449238
"ebic.25","ebic.25",25827.5176755185
"ebic.5","ebic.5",28436.2915791048
"ebic.75","ebic.75",30523.3107019739
"ebic1","ebic1",33653.8393862775
