"","Measure","Value"
"logl","logl",-4895.58236075328
"unrestricted.logl","unrestricted.logl",28031.1440278563
"baseline.logl","baseline.logl",-12018.4093762436
"nvar","nvar",55
"nobs","nobs",1485
"npar","npar",801
"df","df",684
"objective","objective",-37.5042469544194
"chisq","chisq",65853.4527772192
"pvalue","pvalue",0
"baseline.chisq","baseline.chisq",80099.1068081998
"baseline.df","baseline.df",1485
"baseline.pvalue","baseline.pvalue",0
"nfi","nfi",0.177850348132999
"pnfi","pnfi",0.0819189482309571
"tli","tli",-0.799757291598256
"nnfi","nnfi",-0.799757291598256
"rfi","rfi",-0.784930165237568
"ifi","ifi",0.179382167997156
"rni","rni",0.171020883869894
"cfi","cfi",0.171020883869894
"rmsea","rmsea",0.786563203859299
"rmsea.ci.lower","rmsea.ci.lower",0.781487883211357
"rmsea.ci.upper","rmsea.ci.upper",0.791650458575468
"rmsea.pvalue","rmsea.pvalue",0
"aic.ll","aic.ll",11393.1647215066
"aic.ll2","aic.ll2",9410.44249928433
"aic.x","aic.x",64485.4527772192
"aic.x2","aic.x2",67455.4527772192
"bic","bic",13825.7637560399
"bic2","bic2",11290.4782652047
"ebic.25","ebic.25",17035.6376374111
"ebic.5","ebic.5",20245.5115187823
"ebic.75","ebic.75",22813.4106238793
"ebic1","ebic1",26665.2592815247
