"","Measure","Value"
"logl","logl",-9489.26907854272
"unrestricted.logl","unrestricted.logl",28031.1440278563
"baseline.logl","baseline.logl",-12018.4093762436
"nvar","nvar",55
"nobs","nobs",1485
"npar","npar",740
"df","df",745
"objective","objective",22.1540221077811
"chisq","chisq",75040.8262127981
"pvalue","pvalue",0
"baseline.chisq","baseline.chisq",80099.1068081998
"baseline.df","baseline.df",1485
"baseline.pvalue","baseline.pvalue",0
"nfi","nfi",0.0631502746655334
"pnfi","pnfi",0.0316814509264797
"tli","tli",-0.883797052872237
"nnfi","nnfi",-0.883797052872237
"rfi","rfi",-0.867411868619709
"ifi","ifi",0.0637431482610933
"rni","rni",0.0549300980539958
"cfi","cfi",0.0549300980539957
"rmsea","rmsea",0.804717992166879
"rmsea.ci.lower","rmsea.ci.lower",0.799855094759686
"rmsea.ci.upper","rmsea.ci.upper",0.809591604763936
"rmsea.pvalue","rmsea.pvalue",0
"aic.ll","aic.ll",20458.5381570854
"aic.ll2","aic.ll2",18590.2587703733
"aic.x","aic.x",73550.8262127981
"aic.x2","aic.x2",76520.8262127981
"bic","bic",22705.8830828715
"bic2","bic2",20363.6717679926
"ebic.25","ebic.25",25671.3096399435
"ebic.5","ebic.5",28636.7361970156
"ebic.75","ebic.75",31009.0774426732
"ebic1","ebic1",34567.5893111596
