"","Measure","Value"
"logl","logl",-9025.19525073613
"unrestricted.logl","unrestricted.logl",28031.1440278563
"baseline.logl","baseline.logl",-12018.4093762436
"nvar","nvar",55
"nobs","nobs",1485
"npar","npar",806
"df","df",679
"objective","objective",16.1270892791241
"chisq","chisq",74112.6785571849
"pvalue","pvalue",0
"baseline.chisq","baseline.chisq",80099.1068081998
"baseline.df","baseline.df",1485
"baseline.pvalue","baseline.pvalue",0
"nfi","nfi",0.074737765370463
"pnfi","pnfi",0.0341730253781444
"tli","tli",-1.04292055927798
"nnfi","nnfi",-1.04292055927798
"rfi","rfi",-1.02358529959479
"ifi","ifi",0.0753767338222318
"rni","rni",0.0658969294614507
"cfi","cfi",0.0658969294614506
"rmsea","rmsea",0.83801616196058
"rmsea.ci.lower","rmsea.ci.lower",0.832923432098124
"rmsea.ci.upper","rmsea.ci.upper",0.843120190979346
"rmsea.pvalue","rmsea.pvalue",0
"aic.ll","aic.ll",19662.3905014723
"aic.ll2","aic.ll2",17670.2251109669
"aic.x","aic.x",72754.6785571849
"aic.x2","aic.x2",75724.6785571849
"bic","bic",22110.1742990176
"bic2","bic2",19559.0630560549
"ebic.25","ebic.25",25340.084846315
"ebic.5","ebic.5",28569.9953936124
"ebic.75","ebic.75",31153.9238314503
"ebic1","ebic1",35029.8164882071
