"","Measure","Value"
"logl","logl",-9937.42338097701
"unrestricted.logl","unrestricted.logl",28310.2366779897
"baseline.logl","baseline.logl",-12554.7681417949
"nvar","nvar",56
"nobs","nobs",1540
"npar","npar",830
"df","df",710
"objective","objective",22.8690536605325
"chisq","chisq",76495.3201179335
"pvalue","pvalue",0
"baseline.chisq","baseline.chisq",81730.0096395693
"baseline.df","baseline.df",1540
"baseline.pvalue","baseline.pvalue",0
"nfi","nfi",0.06404856116769
"pnfi","pnfi",0.0295288820967922
"tli","tli",-1.04987413611134
"nnfi","nnfi",-1.04987413611134
"rfi","rfi",-1.03009185324191
"ifi","ifi",0.0646098358284974
"rni","rni",0.0549281580265877
"cfi","cfi",0.0549281580265877
"rmsea","rmsea",0.821929989819605
"rmsea.ci.lower","rmsea.ci.lower",0.817012890122246
"rmsea.ci.upper","rmsea.ci.upper",0.826857826601551
"rmsea.pvalue","rmsea.pvalue",0
"aic.ll","aic.ll",21534.846761954
"aic.ll2","aic.ll2",19485.1290799332
"aic.x","aic.x",75075.3201179335
"aic.x2","aic.x2",78155.3201179335
"bic","bic",24076.8006393664
"bic2","bic2",21449.4563494093
"ebic.25","ebic.25",27417.8425426766
"ebic.5","ebic.5",30758.8844459868
"ebic.75","ebic.75",33431.7179686349
"ebic1","ebic1",37440.9682526071
