"","Measure","Value"
"logl","logl",-7142.343766246
"unrestricted.logl","unrestricted.logl",28310.2366779897
"baseline.logl","baseline.logl",-12554.7681417949
"nvar","nvar",56
"nobs","nobs",1540
"npar","npar",675
"df","df",865
"objective","objective",-12.5117009563158
"chisq","chisq",70905.1608884714
"pvalue","pvalue",0
"baseline.chisq","baseline.chisq",81730.0096395693
"baseline.df","baseline.df",1540
"baseline.pvalue","baseline.pvalue",0
"nfi","nfi",0.132446439182323
"pnfi","pnfi",0.0743936168134476
"tli","tli",-0.555003900451309
"nnfi","nnfi",-0.555003900451309
"rfi","rfi",-0.544546223883494
"ifi","ifi",0.133863197436645
"rni","rni",0.126572484486765
"cfi","cfi",0.126572484486765
"rmsea","rmsea",0.715874627769667
"rmsea.ci.lower","rmsea.ci.lower",0.711416680845855
"rmsea.ci.upper","rmsea.ci.upper",0.720342660621698
"rmsea.pvalue","rmsea.pvalue",0
"aic.ll","aic.ll",15634.687532492
"aic.ll2","aic.ll2",13872.9114707159
"aic.x","aic.x",69175.1608884714
"aic.x2","aic.x2",72255.1608884714
"bic","bic",17701.9391797852
"bic2","bic2",15565.24352229
"ebic.25","ebic.25",20419.0515710314
"ebic.5","ebic.5",23136.1639622777
"ebic.75","ebic.75",25309.8538752746
"ebic1","ebic1",28570.3887447701
