"","Measure","Value"
"logl","logl",-10001.9834132548
"unrestricted.logl","unrestricted.logl",28310.2366779897
"baseline.logl","baseline.logl",-12554.7681417949
"nvar","nvar",56
"nobs","nobs",1540
"npar","npar",749
"df","df",791
"objective","objective",23.6862692589852
"chisq","chisq",76624.440182489
"pvalue","pvalue",0
"baseline.chisq","baseline.chisq",81730.0096395693
"baseline.df","baseline.df",1540
"baseline.pvalue","baseline.pvalue",0
"nfi","nfi",0.0624687245186435
"pnfi","pnfi",0.0320862085027578
"tli","tli",-0.841131166869854
"nnfi","nnfi",-0.841131166869854
"rfi","rfi",-0.825282129255738
"ifi","ifi",0.0630792182881409
"rni","rni",0.0543280824713931
"cfi","cfi",0.0543280824713931
"rmsea","rmsea",0.778957196345942
"rmsea.ci.lower","rmsea.ci.lower",0.774297414968185
"rmsea.ci.upper","rmsea.ci.upper",0.783627135142888
"rmsea.pvalue","rmsea.pvalue",0
"aic.ll","aic.ll",21501.9668265096
"aic.ll2","aic.ll2",19604.1627724555
"aic.x","aic.x",75042.440182489
"aic.x2","aic.x2",78122.440182489
"bic","bic",23795.8505062468
"bic2","bic2",21424.9096951891
"ebic.25","ebic.25",26810.8389226074
"ebic.5","ebic.5",29825.827338968
"ebic.75","ebic.75",32237.8180720565
"ebic1","ebic1",35855.8041716893
