"","Measure","Value"
"logl","logl",-9780.95552584589
"unrestricted.logl","unrestricted.logl",28310.2366779897
"baseline.logl","baseline.logl",-12554.7681417949
"nvar","nvar",56
"nobs","nobs",1540
"npar","npar",832
"df","df",708
"objective","objective",20.8884478993791
"chisq","chisq",76182.3844076712
"pvalue","pvalue",0
"baseline.chisq","baseline.chisq",81730.0096395693
"baseline.df","baseline.df",1540
"baseline.pvalue","baseline.pvalue",0
"nfi","nfi",0.0678774572077407
"pnfi","pnfi",0.0312059998071951
"tli","tli",-1.04723065938458
"nnfi","nnfi",-1.04723065938458
"rfi","rfi",-1.02749818629955
"ifi","ifi",0.0684705952935135
"rni","rni",0.0588056449063101
"cfi","cfi",0.0588056449063101
"rmsea","rmsea",0.821399846603124
"rmsea.ci.lower","rmsea.ci.lower",0.816475802917105
"rmsea.ci.upper","rmsea.ci.upper",0.826334664462535
"rmsea.pvalue","rmsea.pvalue",0
"aic.ll","aic.ll",21225.9110516918
"aic.ll2","aic.ll2",19172.4117924325
"aic.x","aic.x",74766.3844076712
"aic.x2","aic.x2",77846.3844076712
"bic","bic",23773.9901191702
"bic2","bic2",21140.3148791168
"ebic.25","ebic.25",27123.0827258619
"ebic.5","ebic.5",30472.1753325535
"ebic.75","ebic.75",33151.4494179068
"ebic1","ebic1",37170.3605459368
