"","Measure","Value"
"logl","logl",-9631.37172315017
"unrestricted.logl","unrestricted.logl",22164.4290788349
"baseline.logl","baseline.logl",-12336.2516076814
"nvar","nvar",54
"nobs","nobs",1431
"npar","npar",768
"df","df",663
"objective","objective",20.3990076455745
"chisq","chisq",63591.6016039702
"pvalue","pvalue",0
"baseline.chisq","baseline.chisq",69001.3613730327
"baseline.df","baseline.df",1431
"baseline.pvalue","baseline.pvalue",0
"nfi","nfi",0.0784007686430484
"pnfi","pnfi",0.0363240458492949
"tli","tli",-1.01010130144831
"nnfi","nnfi",-1.01010130144831
"rfi","rfi",-0.989153092114325
"ifi","ifi",0.0791613913528409
"rni","rni",0.0686952041507807
"cfi","cfi",0.0686952041507808
"rmsea","rmsea",0.767811015122757
"rmsea.ci.lower","rmsea.ci.lower",0.762769309660506
"rmsea.ci.upper","rmsea.ci.upper",0.772864784512979
"rmsea.pvalue","rmsea.pvalue",0
"aic.ll","aic.ll",20798.7434463003
"aic.ll2","aic.ll2",18856.0066041951
"aic.x","aic.x",62265.6016039702
"aic.x2","aic.x2",65127.6016039702
"bic","bic",23165.2619986084
"bic2","bic2",20733.9982588127
"ebic.25","ebic.25",26228.8017463698
"ebic.5","ebic.5",29292.3414941311
"ebic.75","ebic.75",31743.1732923402
"ebic1","ebic1",35419.4209896539
