"","Measure","Value"
"logl","logl",-10342.7238628554
"unrestricted.logl","unrestricted.logl",22164.4290788349
"baseline.logl","baseline.logl",-12336.2516076814
"nvar","nvar",54
"nobs","nobs",1431
"npar","npar",636
"df","df",795
"objective","objective",29.2356801884962
"chisq","chisq",65014.3058833806
"pvalue","pvalue",0
"baseline.chisq","baseline.chisq",69001.3613730327
"baseline.df","baseline.df",1431
"baseline.pvalue","baseline.pvalue",0
"nfi","nfi",0.0577822728467259
"pnfi","pnfi",0.0321012626926255
"tli","tli",-0.710731572855238
"nnfi","nnfi",-0.710731572855238
"rfi","rfi",-0.695991908875893
"ifi","ifi",0.0584557717108848
"rni","rni",0.0495935706359788
"cfi","cfi",0.0495935706359788
"rmsea","rmsea",0.708331085126397
"rmsea.ci.lower","rmsea.ci.lower",0.703724742278543
"rmsea.ci.upper","rmsea.ci.upper",0.712948311848592
"rmsea.pvalue","rmsea.pvalue",0
"aic.ll","aic.ll",21957.4477257107
"aic.ll2","aic.ll2",20255.2124315931
"aic.x","aic.x",63424.3058833806
"aic.x2","aic.x2",66286.3058833806
"bic","bic",23917.2209018409
"bic2","bic2",21903.8306173225
"ebic.25","ebic.25",26454.2147554557
"ebic.5","ebic.5",28991.2086090706
"ebic.75","ebic.75",31020.8036919625
"ebic1","ebic1",34065.1963163004
