"","Measure","Value"
"logl","logl",-6865.80237487426
"unrestricted.logl","unrestricted.logl",22164.4290788349
"baseline.logl","baseline.logl",-12336.2516076814
"nvar","nvar",54
"nobs","nobs",1431
"npar","npar",703
"df","df",728
"objective","objective",-13.9558910907723
"chisq","chisq",58060.4629074184
"pvalue","pvalue",0
"baseline.chisq","baseline.chisq",69001.3613730327
"baseline.df","baseline.df",1431
"baseline.pvalue","baseline.pvalue",0
"nfi","nfi",0.158560617470517
"pnfi","pnfi",0.0806653595517374
"tli","tli",-0.66783318820534
"nnfi","nnfi",-0.66783318820534
"rfi","rfi",-0.653983181867707
"ifi","ifi",0.160251352000018
"rni","rni",0.151514632415452
"cfi","cfi",0.151514632415452
"rmsea","rmsea",0.699393628736123
"rmsea.ci.lower","rmsea.ci.lower",0.694579933648239
"rmsea.ci.upper","rmsea.ci.upper",0.704219357112245
"rmsea.pvalue","rmsea.pvalue",0
"aic.ll","aic.ll",15137.6047497485
"aic.ll2","aic.ll2",13314.7244550892
"aic.x","aic.x",56604.4629074184
"aic.x2","aic.x2",59466.4629074184
"bic","bic",17303.8320183326
"bic2","bic2",15078.3392981811
"ebic.25","ebic.25",20108.0878030673
"ebic.5","ebic.5",22912.343587802
"ebic.75","ebic.75",25155.7482155897
"ebic1","ebic1",28520.8551572713
