"","Measure","Value"
"logl","logl",-9613.45171286589
"unrestricted.logl","unrestricted.logl",22164.4290788349
"baseline.logl","baseline.logl",-12336.2516076814
"nvar","nvar",54
"nobs","nobs",1431
"npar","npar",789
"df","df",642
"objective","objective",20.1763988221673
"chisq","chisq",63555.7615834016
"pvalue","pvalue",0
"baseline.chisq","baseline.chisq",69001.3613730327
"baseline.df","baseline.df",1431
"baseline.pvalue","baseline.pvalue",0
"nfi","nfi",0.0789201789830097
"pnfi","pnfi",0.035406537321518
"tli","tli",-1.07536274459128
"nnfi","nnfi",-1.07536274459128
"rfi","rfi",-1.05306109637899
"ifi","ifi",0.0796613613739716
"rni","rni",0.0689148273741439
"cfi","cfi",0.0689148273741439
"rmsea","rmsea",0.780175618745945
"rmsea.ci.lower","rmsea.ci.lower",0.775052544531929
"rmsea.ci.upper","rmsea.ci.upper",0.785310958409413
"rmsea.pvalue","rmsea.pvalue",0
"aic.ll","aic.ll",20804.9034257318
"aic.ll2","aic.ll2",18822.9956355887
"aic.x","aic.x",62271.7615834016
"aic.x2","aic.x2",65133.7615834016
"bic","bic",23236.1314697045
"bic2","bic2",20738.3878620238
"ebic.25","ebic.25",26383.4398824437
"ebic.5","ebic.5",29530.7482951829
"ebic.75","ebic.75",32048.5950253743
"ebic1","ebic1",35825.3651206614
