"","Measure","Value"
"logl","logl",-9321.42390598401
"unrestricted.logl","unrestricted.logl",23438.4648197531
"baseline.logl","baseline.logl",-11731.7837925362
"nvar","nvar",53
"nobs","nobs",1378
"npar","npar",718
"df","df",660
"objective","objective",22.0979501724074
"chisq","chisq",65519.7774514743
"pvalue","pvalue",0
"baseline.chisq","baseline.chisq",70340.4972245788
"baseline.df","baseline.df",1378
"baseline.pvalue","baseline.pvalue",0
"nfi","nfi",0.0685340588041785
"pnfi","pnfi",0.0328247306318997
"tli","tli",-0.963666615587808
"nnfi","nnfi",-0.963666615587808
"rfi","rfi",-0.944787980254306
"ifi","ifi",0.0691831999643654
"rni","rni",0.059492041881021
"cfi","cfi",0.0594920418810211
"rmsea","rmsea",0.793694663235594
"rmsea.ci.lower","rmsea.ci.lower",0.788561540752371
"rmsea.ci.upper","rmsea.ci.upper",0.798839889704889
"rmsea.pvalue","rmsea.pvalue",0
"aic.ll","aic.ll",20078.847811968
"aic.ll2","aic.ll2",18244.9508315062
"aic.x","aic.x",64199.7774514743
"aic.x2","aic.x2",66955.7774514743
"bic","bic",22268.6444251732
"bic2","bic2",19995.9483954916
"ebic.25","ebic.25",25119.3140191036
"ebic.5","ebic.5",27969.983613034
"ebic.75","ebic.75",30250.5192881784
"ebic1","ebic1",33671.3228008949
