"","Measure","Value"
"logl","logl",-9916.76590961889
"unrestricted.logl","unrestricted.logl",23438.4648197531
"baseline.logl","baseline.logl",-11731.7837925362
"nvar","nvar",53
"nobs","nobs",1378
"npar","npar",616
"df","df",762
"objective","objective",29.7305399625981
"chisq","chisq",66710.4614587441
"pvalue","pvalue",0
"baseline.chisq","baseline.chisq",70340.4972245788
"baseline.df","baseline.df",1378
"baseline.pvalue","baseline.pvalue",0
"nfi","nfi",0.0516066264678927
"pnfi","pnfi",0.0285371911237549
"tli","tli",-0.729362091926354
"nnfi","nnfi",-0.729362091926354
"rfi","rfi",-0.715073581006882
"ifi","ifi",0.0521718046614028
"rni","rni",0.0437054324761379
"cfi","cfi",0.0437054324761379
"rmsea","rmsea",0.744839241593029
"rmsea.ci.lower","rmsea.ci.lower",0.740060316824618
"rmsea.ci.upper","rmsea.ci.upper",0.749629321108171
"rmsea.pvalue","rmsea.pvalue",0
"aic.ll","aic.ll",21065.5318192378
"aic.ll2","aic.ll2",19416.6294331206
"aic.x","aic.x",65186.4614587441
"aic.x2","aic.x2",67942.4614587441
"bic","bic",22944.2431197035
"bic2","bic2",20994.4092000881
"ebic.25","ebic.25",25389.9429384516
"ebic.5","ebic.5",27835.6427571997
"ebic.75","ebic.75",29792.2026121982
"ebic1","ebic1",32727.0423946959
