"","Measure","Value"
"logl","logl",-5550.05362062174
"unrestricted.logl","unrestricted.logl",23438.4648197531
"baseline.logl","baseline.logl",-11731.7837925362
"nvar","nvar",53
"nobs","nobs",1378
"npar","npar",768
"df","df",610
"objective","objective",-26.2529509219807
"chisq","chisq",57977.0368807498
"pvalue","pvalue",0
"baseline.chisq","baseline.chisq",70340.4972245788
"baseline.df","baseline.df",1378
"baseline.pvalue","baseline.pvalue",0
"nfi","nfi",0.175765893498815
"pnfi","pnfi",0.0778063824631908
"tli","tli",-0.879181902807507
"nnfi","nnfi",-0.879181902807507
"rfi","rfi",-0.861958358620711
"ifi","ifi",0.177303487511503
"rni","rni",0.168141537944427
"cfi","cfi",0.168141537944427
"rmsea","rmsea",0.776433012429637
"rmsea.ci.lower","rmsea.ci.lower",0.771093448496209
"rmsea.ci.upper","rmsea.ci.upper",0.781785957049264
"rmsea.pvalue","rmsea.pvalue",0
"aic.ll","aic.ll",12636.1072412435
"aic.ll2","aic.ll2",10709.2165397753
"aic.x","aic.x",56757.0368807498
"aic.x2","aic.x2",59513.0368807498
"bic","bic",14978.3966548111
"bic2","bic2",12547.434884901
"ebic.25","ebic.25",18027.5808444192
"ebic.5","ebic.5",21076.7650340272
"ebic.75","ebic.75",23516.1123857136
"ebic1","ebic1",27175.1334132433
