"","Measure","Value"
"logl","logl",-9489.03175604887
"unrestricted.logl","unrestricted.logl",23438.4648197531
"baseline.logl","baseline.logl",-11731.7837925362
"nvar","nvar",53
"nobs","nobs",1378
"npar","npar",668
"df","df",710
"objective","objective",24.2467687629826
"chisq","chisq",65854.993151604
"pvalue","pvalue",0
"baseline.chisq","baseline.chisq",70340.4972245788
"baseline.df","baseline.df",1378
"baseline.pvalue","baseline.pvalue",0
"nfi","nfi",0.0637684442100782
"pnfi","pnfi",0.03285601987602
"tli","tli",-0.833407198252352
"nnfi","nnfi",-0.833407198252352
"rfi","rfi",-0.81708039982889
"ifi","ifi",0.0644186707227962
"rni","rni",0.0553562331210669
"cfi","cfi",0.055356233121067
"rmsea","rmsea",0.766918206287649
"rmsea.ci.lower","rmsea.ci.lower",0.761968218544696
"rmsea.ci.upper","rmsea.ci.upper",0.771879829388982
"rmsea.pvalue","rmsea.pvalue",0
"aic.ll","aic.ll",20314.0635120977
"aic.ll2","aic.ll2",18571.7945062498
"aic.x","aic.x",64434.993151604
"aic.x2","aic.x2",67190.993151604
"bic","bic",22351.3673249404
"bic2","bic2",20236.9370354873
"ebic.25","ebic.25",25003.5223231933
"ebic.5","ebic.5",27655.6773214461
"ebic.75","ebic.75",29777.4013200483
"ebic1","ebic1",32959.9873179517
